variavel,tipo,n_nulos,Nulos_%,cardinalidade
SAFRA,numerica,0,0.0,6
FPD,numerica,0,0.0,2
SCORE_02,numerica,572,0.04,585
NUM_CPF,categorica,0,0.0,1262539
SCORE_DIFF,numerica,8036,0.63,1158
DATADENASCIMENTO,data,0,0.0,26325
var_03,categorica,82368,6.43,100
var_04,categorica,0,0.0,6
var_05,categorica,52789,4.12,10
var_09,categorica,680708,53.15,15
var_24,categorica,492911,38.48,2
var_25,categorica,131241,10.25,61
CEP_3_digitos,numerica,74605,5.82,901
IDADE,numerica,0,0.0,90
REGIAO_POSTAL,categorica,0,0.0,11
SUB_REGIAO_POSTAL,categorica,0,0.0,101
REGIAO_POSTAL_TXT,categorica,0,0.0,11
TEMPO_CADASTRO,numerica,492911,38.48,62
AUX_EMRG,Int8,0,0.0,2
FUNC_PRIVADO,Int8,0,0.0,2
FLAG_INSTALACAO,categorica,0,0.0,1
PROD,categorica,0,0.0,1
flag_mig2,categorica,0,0.0,1
var_26,numerica,763,0.06,8
var_27,numerica,763,0.06,8
var_28,numerica,763,0.06,913
var_29,numerica,763,0.06,79
var_30,numerica,763,0.06,109
var_31,numerica,763,0.06,9773
var_32,numerica,763,0.06,10008
var_33,numerica,763,0.06,10008
var_34,numerica,763,0.06,10008
var_35,numerica,763,0.06,10008
var_36,numerica,763,0.06,96
var_37,numerica,763,0.06,54
var_38,numerica,763,0.06,10006
var_39,numerica,763,0.06,10007
var_40,numerica,763,0.06,10008
var_41,numerica,763,0.06,10008
var_42,numerica,763,0.06,103
var_43,numerica,763,0.06,104
var_44,numerica,763,0.06,10008
var_45,numerica,763,0.06,16
var_46,numerica,763,0.06,46
var_47,numerica,763,0.06,1118
var_48,numerica,763,0.06,3606
var_49,numerica,763,0.06,8009
var_50,numerica,763,0.06,6721
var_51,numerica,763,0.06,1175
var_52,numerica,763,0.06,9858
var_53,numerica,763,0.06,28
var_54,numerica,763,0.06,10008
var_55,numerica,763,0.06,45
var_56,numerica,763,0.06,91
var_57,numerica,763,0.06,20
var_58,numerica,763,0.06,580
var_59,numerica,763,0.06,10008
var_60,numerica,763,0.06,10008
var_61,numerica,763,0.06,4910
var_62,numerica,763,0.06,166
var_63,numerica,763,0.06,10008
var_64,numerica,763,0.06,24
var_65,numerica,763,0.06,296
var_66,numerica,763,0.06,53
var_67,numerica,763,0.06,63
var_68,numerica,763,0.06,9547
var_69,numerica,763,0.06,3411
var_70,numerica,763,0.06,20
var_71,numerica,763,0.06,20
var_72,numerica,763,0.06,20
var_73,numerica,763,0.06,12
var_74,numerica,763,0.06,14
var_75,numerica,763,0.06,12
var_76,numerica,763,0.06,12
var_77,numerica,763,0.06,9
var_78,numerica,0,0.0,15
var_79,numerica,0,0.0,13
var_80,numerica,0,0.0,13
var_81,numerica,0,0.0,105
var_82,numerica,0,0.0,767
var_83,numerica,0,0.0,14
var_84,numerica,0,0.0,15
var_85,numerica,0,0.0,15
var_86,numerica,0,0.0,16
var_87,numerica,0,0.0,13
var_88,numerica,0,0.0,13
var_89,numerica,0,0.0,107
var_90,numerica,0,0.0,1466
var_91,numerica,0,0.0,15
var_92,numerica,0,0.0,15
var_93,numerica,0,0.0,14
QTDE_RECARGAS,numerica,741142,57.86,8
QTDE_NUMEROS,numerica,741142,57.86,11
VAL_CREDITO_INSERIDO,numerica,741142,57.86,1046
VAL_BONUS,numerica,741142,57.86,11
VAL_REAL,numerica,741142,57.86,1165
QTD_SOS,numerica,741142,57.86,1
VALOR_SOS,numerica,741142,57.86,1
FLAG_ESTORNO_BONUS,numerica,741142,57.86,1
FLAG_ESTORNO_REAL,numerica,741142,57.86,1
TICKET_MEDIO_RECARGA,numerica,741142,57.86,1184
RATIO_BONUS_CREDITO,numerica,741142,57.86,98
RATIO_REAL_CREDITO,numerica,741142,57.86,203
RATIO_SOS_RECARGAS,numerica,741142,57.86,1
TICKET_MEDIO_SOS,numerica,741142,57.86,1
FLAG_MULTI_NUMERO,numerica,741142,57.86,2
FLAG_TEVE_ESTORNO,numerica,741142,57.86,1
FLAG_SEM_RECARGA,numerica,741142,57.86,1
QTDE_RECARGAS_ULT_1_SAFRAS,numerica,741142,57.86,9
QTDE_RECARGAS_ULT_3_SAFRAS,numerica,741142,57.86,25
QTDE_RECARGAS_ULT_6_SAFRAS,numerica,741142,57.86,49
QTDE_NUMEROS_ULT_1_SAFRAS,numerica,741142,57.86,12
QTDE_NUMEROS_ULT_3_SAFRAS,numerica,741142,57.86,27
QTDE_NUMEROS_ULT_6_SAFRAS,numerica,741142,57.86,49
VAL_CREDITO_INSERIDO_ULT_1_SAFRAS,numerica,741142,57.86,720
VAL_CREDITO_INSERIDO_ULT_3_SAFRAS,numerica,741142,57.86,1962
VAL_CREDITO_INSERIDO_ULT_6_SAFRAS,numerica,741142,57.86,3318
VAL_BONUS_ULT_1_SAFRAS,numerica,741142,57.86,16
VAL_BONUS_ULT_3_SAFRAS,numerica,741142,57.86,45
VAL_BONUS_ULT_6_SAFRAS,numerica,741142,57.86,81
VAL_REAL_ULT_1_SAFRAS,numerica,741142,57.86,890
VAL_REAL_ULT_3_SAFRAS,numerica,741142,57.86,2686
VAL_REAL_ULT_6_SAFRAS,numerica,741142,57.86,5108
QTD_SOS_ULT_1_SAFRAS,numerica,741142,57.86,1
QTD_SOS_ULT_3_SAFRAS,numerica,741142,57.86,1
QTD_SOS_ULT_6_SAFRAS,numerica,741142,57.86,1
VALOR_SOS_ULT_1_SAFRAS,numerica,741142,57.86,1
VALOR_SOS_ULT_3_SAFRAS,numerica,741142,57.86,1
VALOR_SOS_ULT_6_SAFRAS,numerica,741142,57.86,1
